,comp_name,comp_star,rev_text
0,サイバーエージェント,3.8,サイバーエージェントの採用における新規事業を提案するといったもの。途中、他チームについているメンターの方と面接のような会話をする機会があった。選考通じて、あらゆる角度から見られているということを感じた。事前にテーマ発表→当日発表事前準備が重要だと感じた。私のチームは事前準備はざっくり行っただけだったが、優勝したチームは、事前準備で徹夜したと聞いた。突き詰めると1日で終えられるテーマではないため、しっかりと時間をかける必要があるだろう。1チームあたり1人メンターの方が付いて下さった。また、他チームのメンターの方と面接のような会話をする場面があった。メンターの方は分からない点に関して答えてくれる存在で、上手く活用することが重要だと感じた。明るい人が多い。明るい人が多い。かつ思考力がある。
1,サイバーエージェント,3.8,"「新規性のあるパズルゲーム」というお題でゲームアプリのプロトタイプを作成した。初めに事前課題でアプリのルールや概要を決めて当日デザインを行う。デザインができたら、モックアップや動画の作成を行い発表する。事前課題
ワイヤーフレーム作成
デザイン作成
モックアップ作成
スライド作成フィードバックをなるべく多くもらい、完成度が高くなるようにした。また自己紹介スライドや発表スライドも自分らしさ、ゲームのコンセプトに合ったものになるよう作成した。
また、チーム賞もあるため他の学生とのコミュニケーションも活発に行なった。お昼はチームごとやシャッフルで社員も混ぜて行うので、その場で聞きたいことなどを聞くことができた。また、メンターさんはインターン中でなくても対応してくださったり、zoomを繋げてくださった。参加者同士でもフィードバックを行う機会がある。陽気な人が多いイメージ明るいながらも個性があり、業務に対しては真剣に取り組んでいる"
2,サイバーエージェント,3.8,未来のサイバーエージェントを考えるお題と、その未来を達成するための採用戦略を考えるという2つのお題が与えられ、5人のグループでそのお題に取り組みました。その結果を年次の高い社員の方に発表し、最後にフィードバックをもらいました。午前中はサイバーエージェントについての説明があり、その後最初のお題に取り組みました。途中で中間発表があり、その時点で順位が一度決められます。その後、2つ目のお題に取り組み、最後に最終発表をして、総評をいただきました。実現可能性ばかりを考えて、規模の小さい目標や戦略にならないように注意しました。また、1日とはいえ朝から晩まで同じお題に取り組む仲間として、グループのメンバーとは最初のうちに打ち解け、最後には言いたいことをどんどん言える関係性になれました。懇親会はありませんでしたが、選考には大きく影響します。このインターンシップは本選考の四次選考にあたります。まず、インターン中は朝から晩まで5人のグループで活動するので、そのグループ内での交流は濃密です。また、グループに社員さんが1人ついてくださり、一緒になって課題に取り組んでくださるので、社員さんともたくさんお話しできます。とても前向きでキラキラしていて、逆に控え目な人はおらず少し圧倒されるような印象でした。業務に関しては、手広くやっているけれど実態はよくわからない、というイメージでした。インターンを受けた後は、意外と落ち着いている人も多いんだなという印象があります。ただ、やはり社風が明るくて楽しそうな会社でした。業務に関しては、これまでにゲーム、テレビ、広告とさまざまな分野に携わっているにもかかわらず、さらにいろいろな道を探っていて、まだまだ成長しそうな雰囲気を感じました。
3,サイバーエージェント,3.8,"2025年のサイバーエージェントの採用戦略について考える。
このお題はインターン1週間前から共有されており、事前にチームで検討することも可能。グループで結論を出し選考官にプレゼン、優勝チームが決まる。約8時間チームで結論を出す。・オンラインだったため共通認識を合わせることに苦労した
・リーダーを決めなかったことで中々議論が前に進まなかった
・自分が何の役割を担っているかより、チームに対して貢献出来ているかの方が重要であると感じた・自分のチームは比較的静かで穏やかな人が多かったので、正直コミュニケーションは少なかったと思う
・社員さんはこちらの疑問に対して丁寧に答えてくれ、的確なアドバイスもしてくれる
・チームの仲の良さが大事だと改めて痛感した・ウェイウェイ系の人達が多い・優秀な人達が多い"
4,サイバーエージェント,3.8,"広告、ゲーム、メディア領域での新記事業立案。
前述の3領域について、担当の社員さんから全体向けにレクチャーをしていただいた後、グループに分かれて議論を進めていく。
9月25日〜27日のプログラムではあるが、到底時間が足りないので、顔合わせをした9月18日から毎日MTGをして、アイデアのブラッシュアップを行っていた。3C分析などのビジネスフレームワークに基づいて企画・立案していく。自社の強みとして何があるのか、ターゲット顧客（対象） は誰なのか、競合他社はどこになるのか、またどの部分で勝ち要素があるのか、徹底的に考え抜く。思いつきのアイデアではなく、市場規模などから逆算して考える事。議論を上流から進めていく事を意識した。1つ1つの企画プロセスのロジックを審査員から深堀りされるので、企画に一貫性があるかなど、確認をしながら議論を進めていく事が大切と感じた。同じグループの学生とは、準備期間含め10日間密にコミュニケーションを取る。この段階まで来ると「素直でいいやつ」しかいない印象。人当たり、協調性、思考レベル全てに長けているメンバーしかいない。メンターの社員さんも、準備期間から全てのMTGに参加して下さった。とにかく学生のために尽くしてくれる。元気で明るい人情味に溢れる社員さんばかりで、非常に魅力的。見た目から溌剌颯爽としている社員さんは多かったが、マインド面についても底無しのポジティブ思考と思考バイタリティが備わっていらっしゃる方ばかりだった。"
5,サイバーエージェント,3.8,"お題は「2025年のサイバーエージェントを考え、活躍できる新卒を採用するための採用戦略を提案してください。」
事前に打ち合わせをしてスライドまで完成させてる班もあれば、何もしてない班もあった。1日でやる量ではないと感じた。
当日は、ワーク、中間当て、ワーク、座談会。割と多くの班が事前に打ち合わせをし、メンターに1度壁打ちした上で当日参加していた様子。
ブラッシュアップをしたうえで、審査員に中間当てをし、FBをもらい、再度ワーク。事前に準備をしたが、メンターさんからFBが帰ってこなかったこともあり、当日だいぶカツカツだった。
どのような場面でも、きちんと話を聞く姿勢、人の意見を受け止めた上での発言、明るく謙虚な雰囲気づくりを心がけた。このインターンシップで合格をもらえないと本選考にいけません。メンター・参加者とは約1週間前からチャットでのやりとりをし、当日までにzoomでミーティングをした。社員の方とは、メンター・審査員・座談会の登壇社員と言う形で、ラフな関係でお話を聞くことができました。頭キレキレの天才型。誰に対しても平等に、優しく、熱意を持って接してくださる。"
6,サイバーエージェント,3.8,実際に開発が進んでいるプロダクトのインフラ周りの開発に携わりました。最初に開発環境や開発の進め方の講義を受けてからは実際に一人で開発を進めました。具体的には、今まで手動で実行していたタスクを自動化する用プログラムを組み込むことである。最初に全体研修が行われた後に、各部署に割り振られて、再度部署での研修を簡単に受けました。その後、実際に開発して欲しい課題について説明を受け、その案件に沿った開発を進めました。開発の中で、不明な点が出れば、すぐに現場のエンジニアに連絡を取ることです。実際にサービスが始まっているプロダクトであったため、失敗などは許されない中であったため、わからないまま開発を進めるのではなく、しっかりと連絡をとって、悩みを解決しながら開発を進めました。選考への影響はなし。上記の通り、基本的にはオンラインでの開発であったため、Slackやdiscodeを用いて、社員様とは関わりを持っていました。また現場のエンジニア以外にも、ビジネス側の人間や、人事部とも関わりは持てたので、色々な人とコミュニケーションは撮りました。明るい雰囲気のある会社だと思っていました。一方でエンジニアの部署は暗い雰囲気もあると思っておりました。ビジネス、エンジニア含めて、かなり明るい雰囲気の会社環境でした。特に、各個人が持つ技術力もかなり高く優秀な方が多かったです。
7,サイバーエージェント,3.8,サイバーエージェントにおける新事業を5人チームで考えて提案する。最後に発表する時間が設けられており、順位がつけられる。他のチームメンバーとの交流はあまりなく、基本的には1日ずっとチームのメンバーと過ごす。各チームに進め方は任されていたサイバーエージェントの事業内容の理解はもちろん、どの分野の事業が伸びそうか、競合はどういうところがあって、マネタイズはどうするのか、10年後20年後の事業計画まで考えたりととにかく時間がなかった。タイムマネジメントが重要。各チームにひとり担当の社員がメンターとしてついてくれる。基本的には学生でワークを進めていくが、途中でアドバイスをくれたり、行き詰まった時は相談に乗ってくれる。インターンの最後には、1人ずつ全体を通したフィードバックをもらえる。仕事が大好きな人が多いシンプルに頭がいい
8,サイバーエージェント,3.8,"お題は「2025年のサイバーエージェントを考え、活躍できる新卒を採用するための採用施策を考える。」
3日前にチームが発表され、事前準備を行った。（行うチームもあれば行わないチームもある）
中間発表と最終発表があり、1チーム5分。チーム内で自己紹介をすることから始まり、約1時間のチームでのワーク後に中間発表、約2時間再びワーク後に最終発表という手順。お題が重めであり、さらにディスカッションをする時間が短かったので、どこにこだわり、どれくらいの完成度にするかを見極めることが大事だった。
こだわりすぎると、一番大事な部分が薄くなってしまうので、一番大事な部分に多くの時間を避けるようなタイムスケジューリングが大事。1チームに1人メンターの方がついてくださるので、わからないことがあればすぐに聞いて意見をいただくことができた。
他のチームのメンターさんともお話しする機会があったりなどと、学生だけでというよりは、社員さんも一緒にという感じがあった。ラフで明るい方が多いイメージ。本当にいい人たちばかりが集まった会社なんだなというイメージ。"
9,サイバーエージェント,3.8,"サイバーエージェントにおいて新規事業の立案、提案を行う。
1チーム5〜6名程度で、10チームほどにわかれ、ワークを行った。
中間発表を含めて2回プレゼンする機会がある。
中間発表時、最終発表時に順位が発表される。自由にチームで話し合う形でしたが、
オンライン開催ということもあり、ワーク前にzoomの使い方のレクチャーがありました。このインターンシップもトライアウト選考と同じく、アウトプットのスピード感が求められます。
私のチームはできませんでしたが、中間発表でアウトプットを一旦完成させるぐらいのスピードで行う必要があったのではないかと思います。チームについてくださるメンターの社員の方は、行き詰まったら助けを出してくれる。
また、ワーク前にメンターの社員以外と10分程度の面接があった。
ワーク後にはメンターの社員の方から1on1でフィードバックを貰える。明るい明るいが、真剣。"
